ID;PlatformText
1;Siebenhirten
2;Perfektastraße
3;Erlaaer Straße
4;Alterlaa
5;Am Schöpfwerk
6;Tscherttegasse
7;Meidling
8;Niederhofstraße
9;Längenfeldgasse
10;Gumpendorfer Straße
11;Westbahnhof
12;Burggasse-Stadthalle
13;Thaliastraße
14;Josefstädter Straße
15;Alser Straße
16;Michelbeuern-AKH
17;Währinger Straße-Volksoper
18;Nußdorfer Straße
19;Spittelau
20;Jägerstraße
21;Dresdner Straße
22;Handelskai
23;Neue Donau
24;Floridsdorf
