DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200100;Broßmannplatz;Wien;90001;16.3983682;48.2519789
60200101;Aumannplatz;Wien;90001;16.3365641;48.2281611
60200102;Autokaderstraße;Wien;90001;16.3880106;48.2774477
60200103;Aßmayergasse;Wien;90001;16.337714;48.1787251
60200104;Bacherplatz;Wien;90001;16.3568571;48.1882424
60200105;Badeteich Süßenbrunn;Wien;90001;16.4878045;48.2777407
60200106;Badgasse;Wien;90001;16.2239962;48.2090138
60200107;Rettichgasse;Wien;90001;16.2622465;48.201584
60200108;Duchekgasse;Wien;90001;16.5175477;48.2091875
60200109;Barawitzkagasse;Wien;90001;16.3556803;48.2446212
60200110;Barichgasse;Wien;90001;16.3948648;48.198231
60200111;Morelligasse;Wien;90001;16.4041354;48.2504297
60200112;Bauernfeldplatz;Wien;90001;16.3607198;48.2208777
60200113;Linzer Straße/Hochsatzengasse;Wien;90001;16.2771046;48.1968538
60200114;Baumgartner Friedhof;Wien;90001;16.2790719;48.2014224
60200115;Baumgasse;Wien;90001;16.4047552;48.1932909
60200116;Nußdorf, Beethovengang;Wien;90001;16.3630554;48.259545
60200117;Belgradplatz;Wien;90001;16.3607378;48.1742803
60200118;Bellevuestraße;Wien;90001;16.3284434;48.248689
60200119;Jedlesee, Bellgasse;Wien;90001;16.3869596;48.2626368
60200120;Belvederegasse;Wien;90001;16.3719577;48.1901469
60200121;Benatzkygasse;Wien;90001;16.4396099;48.2299444
60200122;Berggasse;Wien;90001;16.3617349;48.2180646
60200123;Bergmillergasse;Wien;90001;16.2567758;48.2013745
60200124;Yppengasse;Wien;90001;16.3356658;48.2147127
60200125;Theodor-Körner-Gasse;Wien;90001;16.4076568;48.2497179
60200127;Fernkorngasse;Wien;90001;16.3635675;48.1740647
60200128;Bernreiterplatz;Wien;90001;16.4063453;48.2814054
60200129;Mühlschüttel;Wien;90001;16.410729;48.2491975
60200130;Berzeliusgasse;Wien;90001;16.4104955;48.2756542
60200131;Franz-Eder-Weg;Wien;90001;16.4345074;48.1772456
60200132;Anton-Schall-Gasse;Wien;90001;16.4157147;48.2890208
60200133;Bettelheimstraße;Wien;90001;16.4924937;48.2789962
60200134;Bezirksamt Donaustadt;Wien;90001;16.4370317;48.2401701
60200135;Döblinger Hauptstraße/Gatterburggasse;Wien;90001;16.3546023;48.2389137
60200136;Laxenburger Str./Gudrunstr.;Wien;90001;16.3737544;48.1783597
60200137;Bezirksamt Margareten;Wien;90001;16.3549976;48.1906739
60200138;Bibernellweg;Wien;90001;16.4790998;48.2472534
60200139;Kretschekgasse;Wien;90001;16.2836893;48.2246422
60200140;Schierlinggrundbrücke;Wien;90001;16.4648076;48.2087085
60200141;Alberner Hafenzufahrtsstraße West;Wien;90001;16.4703772;48.1733458
60200142;Bischoffgasse;Wien;90001;16.3219935;48.1833792
60200143;Bischofgasse;Wien;90001;16.3975238;48.1380845
60200144;Blaasstraße;Wien;90001;16.341972;48.2371128
60200145;Blechturmgasse;Wien;90001;16.3682747;48.1843555
60200146;Bleibtreustraße;Wien;90001;16.4490332;48.1779764
60200147;Blériotgasse;Wien;90001;16.4256411;48.1709734
60200148;Blindengasse;Wien;90001;16.3404808;48.2109714
60200149;Blumengasse;Wien;90001;16.3317312;48.2214942
60200150;Hetmanekgasse;Wien;90001;16.3169719;48.1373172
60200152;Bohattaweg;Wien;90001;16.2297095;48.1379406
60200153;Borkowskigasse;Wien;90001;16.3306263;48.2370889
60200155;Maculangasse/Wagramer Straße;Wien;90001;16.4536865;48.2624873
60200156;Braillegasse;Wien;90001;16.295062;48.2027097
60200157;Brandstätte;Wien;90001;16.3705384;48.210265
60200158;Braungasse;Wien;90001;16.296095;48.2269523
60200159;Grimmgasse;Wien;90001;16.3283625;48.1869069
60200160;Braunhubergasse;Wien;90001;16.4186701;48.1717882
60200161;Braunschweiggasse;Wien;90001;16.2954572;48.1894881
60200162;Scheffelstraße;Wien;90001;16.4055458;48.2516619
60200163;Breiteneckergasse;Wien;90001;16.3294135;48.1441869
60200164;Breitenlee Friedhof;Wien;90001;16.4929159;48.2511655
60200165;Breitenlee Ort;Wien;90001;16.4975871;48.2511954
60200166;Breitensee;Wien;90001;16.3063628;48.198243
60200167;Roschégasse;Wien;90001;16.4502908;48.1539323
60200168;Bretschneidergasse;Wien;90001;16.3481254;48.2542399
60200169;Brigittagasse;Wien;90001;16.3747246;48.2332774
60200170;Brigittaplatz;Wien;90001;16.3703318;48.2326431
60200171;Brockhausengasse;Wien;90001;16.4770067;48.2076908
60200172;Thaliastraße/Brunnengasse;Wien;90001;16.3354323;48.2090498
60200173;Neulerchenfelder Straße/Brunnengasse;Wien;90001;16.3359443;48.2110911
60200174;Brunner Straße/Erlaaer Straße;Wien;90001;16.2968137;48.1461948
60200175;Brückengasse;Wien;90001;16.3476044;48.1913027
60200176;Brünner Straße;Wien;90001;16.4037042;48.2677557
60200177;Bergtaidingweg;Wien;90001;16.3973172;48.1466084
60200178;Brünnlbadgasse;Wien;90001;16.3457359;48.2153951
60200179;Brüßlgasse;Wien;90001;16.3207089;48.2059966
60200180;Bubergasse;Wien;90001;16.4514766;48.2704524
60200181;Buchbindergasse;Wien;90001;16.2697834;48.1637119
60200182;Grünhaufenbrücke;Wien;90001;16.4522222;48.1922609
60200183;Computerstraße/Gutheil-Schoder-Gasse;Wien;90001;16.3370672;48.159883
60200184;Hütteldorf, Bujattigasse;Wien;90001;16.2551408;48.2026318
60200185;Bundessportbad;Wien;90001;16.4209698;48.2400086
60200186;Bunsengasse;Wien;90001;16.3909931;48.2632588
60200187;Burgersteingasse;Wien;90001;16.2979545;48.202566
60200188;Burggasse-Stadthalle;Wien;90001;16.3373097;48.2022965
60200189;Campingplatz Wien-West 2;Wien;90001;16.2495443;48.2145092
60200190;Burgring;Wien;90001;16.3637202;48.2039251
60200191;Burgstall;Wien;90001;16.3613486;48.2699442
60200192;Rathausplatz/Burgtheater;Wien;90001;16.3606569;48.2104446
60200193;Bärenmühldurchgang;Wien;90001;16.3662894;48.1995124
60200194;Börnergasse;Wien;90001;16.3316324;48.2475644
60200195;Börse;Wien;90001;16.3660019;48.2155627
60200196;Bösendorferstraße/Karlsplatz U;Wien;90001;16.3705923;48.2012967
60200197;Camillo-Sitte-Gasse;Wien;90001;16.3273025;48.2050027
60200198;Breitenfurter Str./Willergasse;Wien;90001;16.2571171;48.1379646
60200199;Gerbergasse;Wien;90001;16.2994278;48.149839
60200200;Campingplatz Wien-West 1;Wien;90001;16.2535149;48.2112827
60200201;Campingplatzweg;Wien;90001;16.4805641;48.2757438
60200202;Canisiusgasse;Wien;90001;16.3548089;48.2280474
60200203;Carabelligasse;Wien;90001;16.4108099;48.2802157
60200204;Carlbergergasse;Wien;90001;16.2979545;48.1412137
60200206;Celtesgasse;Wien;90001;16.2971191;48.2517576
60200207;Hafen Freudenau;Wien;90001;16.4723804;48.1786053
60200208;Chimanistraße;Wien;90001;16.3437686;48.23953
60200209;Cobenzl Parkplatz;Wien;90001;16.3214365;48.2639884
60200210;Cobenzlgasse;Wien;90001;16.3305095;48.2636355
60200211;Columbusplatz;Wien;90001;16.3737184;48.1820375
60200212;Triester Str./Computerstraße;Wien;90001;16.3420169;48.1576358
60200213;Concordiaplatz;Wien;90001;16.3700623;48.2137011
60200214;Corvinusgasse;Wien;90001;16.2806889;48.1444626
60200215;Cottagegasse;Wien;90001;16.3418193;48.2338638
60200216;Cottagestraße;Wien;90001;16.2262959;48.2151317
60200217;Czartoryskigasse;Wien;90001;16.3274462;48.227808
60200218;Dahliengasse;Wien;90001;16.444901;48.2869108
60200219;Dammstraße;Wien;90001;16.3752546;48.2346895
60200220;Dampfkraftwerk Donaustadt;Wien;90001;16.4609179;48.1974765
60200221;Dampfschiffhaufen;Wien;90001;16.4322257;48.2171369
60200222;Danzergasse;Wien;90001;16.4884064;48.2087804
60200223;Daphneweg;Wien;90001;16.5302499;48.244352
60200224;Daringergasse;Wien;90001;16.3347316;48.2466312
60200225;Davidgasse;Wien;90001;16.3563271;48.1754724
60200226;Deindorfstraße;Wien;90001;16.5432395;48.2169274
60200227;Deißenhofergasse;Wien;90001;16.2801679;48.1584088
60200228;Laxenburger Str./Heizwerkstr.;Wien;90001;16.3587435;48.1396072
60200229;Dietmayrgasse;Wien;90001;16.3685531;48.2392129
60200230;Dirnelwiese;Wien;90001;16.3792611;48.2930254
60200231;Dobrowskygasse;Wien;90001;16.3319737;48.1434855
60200232;Doeltergasse;Wien;90001;16.4381816;48.2594911
60200233;Dommayergasse;Wien;90001;16.298781;48.1864517
60200234;Donauinsel;Wien;90001;16.4109806;48.2289989
60200235;Floridsdorfer Brücke;Wien;90001;16.3878669;48.2485993
60200236;Donaustadtstraße;Wien;90001;16.4436882;48.2336843
60200237;Donauwarte;Wien;90001;16.3459785;48.2845557
60200238;Siebeckstraße;Wien;90001;16.4346512;48.2418333
60200239;Dopschstraße;Wien;90001;16.4388283;48.2692386
60200240;Dorfmeistergasse;Wien;90001;16.2961759;48.1645267
60200241;Dornbacher Straße;Wien;90001;16.3018712;48.2281611
60200242;Dostalgasse;Wien;90001;16.2632885;48.159835
60200243;Dostgasse;Wien;90001;16.2531735;48.2201535
60200244;Dr.-Adolf-Schärf-Heim;Wien;90001;16.3698826;48.2458296
60200245;Stubentor;Wien;90001;16.3802761;48.2070682
60200246;Ring/Volkstheater U;Wien;90001;16.3598574;48.2067808
60200247;Dr.-Neumann-Gasse;Wien;90001;16.2882258;48.1381804
60200248;Dr.-Schober-Straße;Wien;90001;16.2728736;48.1667316
60200249;Draugasse;Wien;90001;16.4386307;48.2854703
60200250;Dunantgasse;Wien;90001;16.3889269;48.2600294
60200251;Dänenstraße;Wien;90001;16.3345519;48.2371008
60200252;Döblinger Bad;Wien;90001;16.3569828;48.2511595
60200253;Döblinger Friedhof;Wien;90001;16.3285781;48.2393445
60200254;Döblinger Steg;Wien;90001;16.3654;48.2407744
60200255;Dörmanngasse;Wien;90001;16.5341486;48.2226673
60200256;Kraftwerk Simmering;Wien;90001;16.4299081;48.1835828
60200257;Eberstorferweg;Wien;90001;16.2800601;48.1546515
60200258;Edelsteingasse;Wien;90001;16.4256051;48.262296
60200259;Edenstraße;Wien;90001;16.2463284;48.2148025
60200260;Strebersdorf, Edmund-Hawranek-Platz;Wien;90001;16.3865464;48.2914057
60200261;Eduard-Kittenberger-Gasse;Wien;90001;16.3032187;48.1368196
60200262;Albrechtskreithgasse;Wien;90001;16.3204663;48.2192797
60200263;Egon-Friedell-Gasse;Wien;90001;16.4364119;48.2738904
60200264;Eibesbrunnergasse;Wien;90001;16.3374624;48.1710333
60200266;Eichbachgasse;Wien;90001;16.2472896;48.2219491
60200267;Eichenstraße;Wien;90001;16.3498412;48.1804263
60200268;Einsiedeleigasse;Wien;90001;16.2643486;48.1833852
60200269;Einsiedlerplatz;Wien;90001;16.3494729;48.1852599
60200270;Luzegasse;Wien;90001;16.4501561;48.1608237
60200271;Eipeldauer Straße;Wien;90001;16.4365915;48.2630794
60200272;Eisenstadtplatz;Wien;90001;16.3845701;48.1694757
60200273;Eisstoßgasse;Wien;90001;16.4409124;48.217933
60200274;Elderschplatz;Wien;90001;16.4122562;48.2179449
60200275;Elsbeergasse;Wien;90001;16.2544042;48.2184836
60200276;Elterleinplatz;Wien;90001;16.3310575;48.2181784
60200277;Embelgasse;Wien;90001;16.3522667;48.1826904
60200278;Endemanngasse;Wien;90001;16.2904356;48.1530933
60200279;Engerthstraße/Innstraße;Wien;90001;16.3927897;48.2333193
60200280;Engerthstraße/Traisengasse;Wien;90001;16.3892234;48.236329
60200281;Englisch-Feld-Gasse;Wien;90001;16.5363315;48.20981
60200282;Donaumarina;Wien;90001;16.4309681;48.2061223
60200283;Erdbergstr./Schlachthausgasse;Wien;90001;16.4079712;48.1952909
60200285;Erlaaer Straße;Wien;90001;16.3165317;48.1418491
60200286;Erlachplatz;Wien;90001;16.3690023;48.1786353
60200287;Erndtgasse;Wien;90001;16.3226582;48.2373222
60200288;Erzherzog-Karl-Straße;Wien;90001;16.4532283;48.2295674
60200289;Erdberg;Wien;90001;16.4139989;48.1915243
60200290;Donaustadtbrücke;Wien;90001;16.4401309;48.2117915
60200291;Eselstiege;Wien;90001;16.2868154;48.2243909
60200292;Eslarngasse;Wien;90001;16.3958799;48.1967281
60200293;Esterházygasse;Wien;90001;16.3508923;48.1951113
60200294;Etrichstraße;Wien;90001;16.4614389;48.1484365
60200295;Daumegasse;Wien;90001;16.3745539;48.1639336
60200296;Evangelischer Friedhof;Wien;90001;16.3602437;48.1798572
60200297;Eßling Schule;Wien;90001;16.5263602;48.2140902
60200298;Eßling Friedhof;Wien;90001;16.5316513;48.216263
60200299;Aspernstraße;Wien;90001;16.474761;48.2224458
60200300;Fasangasse;Wien;90001;16.3850282;48.1884101
60200301;Heiligenstadt S+U/12.-Februar-Platz;Wien;90001;16.3627141;48.2489283
60200302;Diesterweggasse;Wien;90001;16.3063358;48.1937579
60200303;Wattmanng./Elisabethallee;Wien;90001;16.2952147;48.1764668
60200304;Döblinger Friedhof/Felix-Dahn-Str.;Wien;90001;16.3260808;48.2400325
