ID;PlatformText
1;Ottakring
2;Kendlerstraße
3;Hütteldorfer Straße
4;Johnstraße
5;Schweglerstraße
6;Westbahnhof
7;Zieglergasse
8;Neubaugasse
9;Volkstheater
10;Herrengasse
11;Stephansplatz
12;Stubentor
13;Mitte-Landstraße
14;Rochusgasse
15;Kardinal-Nagl-Platz
16;Schlachthausgasse
17;Erdberg
18;Gasometer
19;Zippererstraße
20;Enkplatz
21;Simmering
