ID;PlatformText
1;Oberlaa
2;Neulaa
3;Alaudagasse
4;Altes Landgut
5;Troststraße
6;Reumannplatz
7;Keplerplatz
8;Hauptbahnhof Süd
9;Taubstummengasse
10;Karlsplatz
11;Stephansplatz
12;Schwedenplatz
13;Nestroyplatz
14;Praterstern
15;Vorgartenstraße
16;Donauinsel
17;Kaisermühlen-VIC
18;Alte Donau
19;Kagran
20;Kagraner Platz
21;Rennbahnweg
22;Aderklaaer Straße
23;Großfeldsiedlung
24;Leopoldau
