ID;PlatformText
1;Karlsplatz
2;Museumsquartier
3;Volkstheater
4;Rathaus
5;Schottentor
6;Schottenring
7;Taborstraße
8;Praterstern
9;Messe-Prater
10;Krieau
11;Stadion
12;Donaumarina
13;Donaustadtbrücke
14;Stadlau
15;Hardeggasse
16;Donauspital
17;Aspernstraße
18;Hausfeldstraße
19;Aspern Nord
20;Seestadt
